"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"X1","shapiro caminhada","shapiro rml","shapiro controle","Bartlett all","ANOVA p-value","Krustal-Wallis p-value","shapiro residuals","Normal Residuals","Tuckey rml-caminhada","Tuckey controle-caminhada","Tuckey controle-rml","Chi-Squared for Menopause","Chi-Squared for IMC","two-way ANOVA for Grupo and IMC","two-way ANOVA for Grupo and Menopausa"
"idade","0.0279784317261","0.0814307232423","0.0159989379654","0.5832306841032","0.5729151990299","0.6704093393476","0.0003797371934","0.0000000000000","0.8078253373832","0.5457385191524","0.9033209682107",NA,NA,"0.5775931006935","0.4581928622716"
"imc","0.0844912687340","0.0119316349568","0.0279790781270","0.8459079561776","0.9197794394174","0.9400737902697","0.0002747397101","0.0000000000000","0.9943162498393","0.9180540759542","0.9539964588280",NA,NA,"0.6279775880239","0.9194876892700"
"imccat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5445518001","0.7305710097",NA,NA
"tempdo","9.880119804e-06","1.788570371e-07","5.525283930e-03","1.636346849e-03","4.513591396e-01","3.923521225e-02","1.170430715e-10","0.000000000e+00","7.852134422e-01","4.177817518e-01","8.187610127e-01",NA,NA,"4.487791768e-01","4.505563408e-01"
"menop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.5445518001","0.7305710097",NA,NA
"eav16","0.18345302512","0.04828288966","0.20566014150","0.52729966051","0.03224467884","0.03526455982","0.10151273430","1.00000000000","0.78275424928","0.14251095304","0.03108273259",NA,NA,"0.03208627566","0.03234661671"
"cfunc16","0.4996642540","0.3399975986","0.4877826534","0.7755424123","0.1361129674","0.1161492411","0.3637302968","1.0000000000","0.4729219226","0.1174424086","0.7376632587",NA,NA,"0.1233448701","0.1394747774"
"aspfis16","7.748397804e-06","1.269245906e-04","6.982840944e-06","3.389509490e-01","3.493398904e-01","5.182383547e-01","4.040714204e-08","0.000000000e+00","9.147766284e-01","3.317180424e-01","6.051297189e-01",NA,NA,"3.555396126e-01","3.479266975e-01"
"dor16","0.0475291533074","0.1631250211603","0.1930896026105","0.6319638657688","0.0004561830252","0.0006780009180","0.0126871893355","0.0000000000000","0.9996979378356","0.0013535964644","0.0026021772052",NA,NA,"0.0004968326596","0.0005034440776"
"estger16","0.2076675447","0.1011528498","0.9863854771","0.7158607261","0.1942826146","0.1726647663","0.2146910447","1.0000000000","0.9866385070","0.2185722562","0.3236118273",NA,NA,"0.1958329312","0.1957471932"
"vit16","0.38859774777","0.73329719504","0.39753163300","0.36324650485","0.01446776239","0.00948402436","0.14867924453","1.00000000000","0.81640005282","0.06169123111","0.01810216854",NA,NA,"0.01285722399","0.01522608593"
"aspsoc16","0.096526875717","0.008666900609","0.020314459564","0.200477600072","0.007924062843","0.006407931535","0.097229478257","1.000000000000","0.930767793142","0.010492167026","0.040126687772",NA,NA,"0.006962151682","0.008023013956"
"emoc16","2.150578908e-05","1.331262050e-05","5.472165037e-05","7.089500846e-01","5.324681885e-02","4.333863600e-02","1.535578607e-06","0.000000000e+00","1.895923557e-01","5.425624859e-02","8.748086529e-01",NA,NA,"5.652974676e-02","5.521891633e-02"
"sment16","0.45085827677","0.04979109508","0.09889025611","0.17905000853","0.05498097962","0.02454277954","0.17089615079","1.00000000000","0.46811421477","0.04277523009","0.47880589816",NA,NA,"0.05706483649","0.05689283904"
"t6min16","0.2561485636255","0.3162744408975","0.3605337395814","0.8224153869092","0.0006203721569","0.0019205649307","0.1951644055247","1.0000000000000","0.0289249865092","0.0004685671548","0.3760774483359",NA,NA,"0.0007093694057","0.0006741530247"
